idLog,idPersona,zona1,zona2,zona3,zona4
309,1,0,0,1.17,0.55
310,6,0,0,0.27,0.18
311,7,0,0,0.27,0
312,1,0,0,1.18,0.55
313,6,0,0,0.27,0.2
314,7,0,0,0.28,0
315,1,0,0,1.2,0.55
316,6,0,0,0.27,0.22
317,7,0,0,0.3,0
318,1,0,0,1.22,0.55
319,6,0,0,0.27,0.23
320,7,0,0,0.32,0
321,1,0,0,1.23,0.55
322,6,0,0,0.27,0.25
323,8,0,0,0.03,0
324,1,0,0,1.25,0.55
325,6,0,0,0.27,0.27
326,8,0,0,0.05,0
327,1,0,0,1.27,0.55
328,6,0,0,0.27,0.28
329,8,0,0,0.07,0
330,1,0,0,1.28,0.55
331,6,0,0,0.27,0.3
332,8,0,0,0.08,0
333,1,0,0,1.3,0.55
334,6,0,0,0.27,0.32
335,8,0,0,0.1,0
336,1,0,0,1.32,0.55
337,6,0,0,0.27,0.33
338,8,0,0,0.12,0
339,1,0,0,1.33,0.55
340,6,0,0,0.27,0.35
341,8,0,0,0.13,0
342,1,0,0,1.35,0.55
343,6,0,0,0.27,0.37
344,8,0,0,0.15,0
345,1,0,0,1.37,0.55
346,6,0,0,0.27,0.38
347,8,0,0,0.17,0
348,1,0,0,1.38,0.55
349,6,0,0,0.27,0.4
350,8,0,0,0.18,0
351,1,0,0,1.4,0.55
352,6,0,0,0.27,0.42
353,8,0,0,0.2,0
354,1,0,0,1.42,0.55
355,6,0,0,0.27,0.43
356,8,0,0,0.22,0
357,1,0,0,1.43,0.55
358,6,0,0,0.27,0.45
359,8,0,0,0.23,0
360,1,0,0,1.45,0.55
361,6,0,0,0.27,0.47
362,8,0,0,0.25,0
363,1,0,0,1.47,0.55
364,6,0,0,0.27,0.48
365,8,0,0,0.27,0
366,1,0,0,1.48,0.55
367,6,0,0,0.27,0.5
368,8,0,0,0.28,0
369,1,0,0,1.5,0.55
370,6,0,0,0.27,0.52
371,8,0,0,0.3,0
372,4,0,0,0,0.98
373,1,0,0,1.52,0.55
374,6,0,0,0.27,0.53
375,8,0,0,0.32,0
376,4,0,0,0,1.0
377,1,0,0,1.53,0.55
378,6,0,0,0.27,0.55
379,8,0,0,0.33,0
380,4,0,0,0,1.02
381,1,0,0,1.55,0.55
382,6,0,0,0.27,0.57
383,8,0,0,0.35,0
384,1,0,0,1.57,0.55
385,6,0,0,0.27,0.58
386,8,0,0,0.37,0
387,1,0,0,1.58,0.55
388,6,0,0,0.27,0.6
389,8,0,0,0.38,0
390,1,0,0,1.6,0.55
391,6,0,0,0.27,0.62
392,8,0,0,0.4,0
393,4,0,0,0,1.03
394,1,0,0,1.62,0.55
395,6,0,0,0.27,0.63
396,8,0,0,0.42,0
397,4,0,0,0,1.05
398,1,0,0,1.63,0.55
